id	rep	cite	OTName	OTUnit
1	1	4	Sharkey, T. D., & Loreto, F. (1993). Water stress, temperature, and light effects on the capacity for isoprene emission and photosynthesis of kudzu leaves. Oecologia, 95(3), 328–333. doi:10.1007/BF00320984	photosynthetic co2 assimilation	micromol m^-2 s^-1
6	2	4	Sharkey, T. D., & Loreto, F. (1993). Water stress, temperature, and light effects on the capacity for isoprene emission and photosynthesis of kudzu leaves. Oecologia, 95(3), 328–333. doi:10.1007/BF00320984	photosynthetic co2 assimilation	micromol m^-2 s^-1
11	3	All results included	Coles, S., & Jokiel, P. (1977). Effects of temperature on photosynthesis and respiration in hermatypic corals. Marine Biology, 216, 209–216. Retrieved from http://link.springer.com/article/10.1007/BF00402313	change in o2 (photosynthesis)	mg o2 (10 minutes^-1)
21	4	All results included	Coles, S., & Jokiel, P. (1977). Effects of temperature on photosynthesis and respiration in hermatypic corals. Marine Biology, 216, 209–216. Retrieved from http://link.springer.com/article/10.1007/BF00402313	change in o2 (photosynthesis)	mg o2 (10 minutes^-1)
28	5	All results included	Coles, S., & Jokiel, P. (1977). Effects of temperature on photosynthesis and respiration in hermatypic corals. Marine Biology, 216, 209–216. Retrieved from http://link.springer.com/article/10.1007/BF00402313	change in o2 (respiration)	mg o2 (10 minutes^-1)
40	6	All results included	Coles, S., & Jokiel, P. (1977). Effects of temperature on photosynthesis and respiration in hermatypic corals. Marine Biology, 216, 209–216. Retrieved from http://link.springer.com/article/10.1007/BF00402313	change in o2 (respiration)	mg o2 (10 minutes^-1)
48	7	3	Bernacchi, C. J., Singsaas, E. L., Pimentel, C., Portis Jr, a. R., & Long, S. P. (2001). Improved temperature response functions for models of Rubisco-limited photosynthesis. Plant, Cell and Environment, 24(2), 253–259. doi:10.1046/j.1365-3040.2001.00668.x	photosynthetic rate	micromol m^-2 s^-1
55	8	8	Wise, R. R., Olson, a. J., Schrader, S. M., & Sharkey, T. D. (2004). Electron transport is the functional limitation of photosynthesis in field-grown Pima cotton plants at high temperature. Plant, Cell and Environment, 27(6), 717–724. doi:10.1111/j.1365-3040.2004.01171.x	co2 assimilation	micromol m^-2 s^-1
63	9	11	Wise, R. R., Olson, a. J., Schrader, S. M., & Sharkey, T. D. (2004). Electron transport is the functional limitation of photosynthesis in field-grown Pima cotton plants at high temperature. Plant, Cell and Environment, 27(6), 717–724. doi:10.1111/j.1365-3040.2004.01171.x	co2 assimilation	micromol m^-2 s^-1
74	10	11	Wise, R. R., Olson, a. J., Schrader, S. M., & Sharkey, T. D. (2004). Electron transport is the functional limitation of photosynthesis in field-grown Pima cotton plants at high temperature. Plant, Cell and Environment, 27(6), 717–724. doi:10.1111/j.1365-3040.2004.01171.x	co2 assimilation	micromol m^-2 s^-1
85	11	4	Marsh, J. a., Dennison, W. C., & Alberte, R. S. (1986). Effects of temperature on photosynthesis and respiration in eelgrass (Zostera marina L.). Journal of Experimental Marine Biology and Ecology, 101(3), 257–267. doi:10.1016/0022-0981(86)90267-4	maximum net photosynthesis	micromol o2 dm^-2 min^-1
93	12	4	Marsh, J. a., Dennison, W. C., & Alberte, R. S. (1986). Effects of temperature on photosynthesis and respiration in eelgrass (Zostera marina L.). Journal of Experimental Marine Biology and Ecology, 101(3), 257–267. doi:10.1016/0022-0981(86)90267-4	dark respiration	micromol o2 dm^-2 min^-1
101	13	several	Ludlow, M., & Wilson, G. (1971). Photosynthesis of tropical pasture plants I. Illuminance, carbon dioxide concentration, leaf temperature, and leaf-air vapour pressure difference. Australian Journal of Biological Sciences, 449–470. Retrieved from http://www.publish.csiro.au/?paper=BI9710449	net photosynthetic rate	mg co2 dm^-2 h^-1
115	14	several	Ludlow, M., & Wilson, G. (1971). Photosynthesis of tropical pasture plants I. Illuminance, carbon dioxide concentration, leaf temperature, and leaf-air vapour pressure difference. Australian Journal of Biological Sciences, 449–470. Retrieved from http://www.publish.csiro.au/?paper=BI9710449	dark respiration	mg co2 dm^-2 h^-1
125	15	several	Ludlow, M., & Wilson, G. (1971). Photosynthesis of tropical pasture plants I. Illuminance, carbon dioxide concentration, leaf temperature, and leaf-air vapour pressure difference. Australian Journal of Biological Sciences, 449–470. Retrieved from http://www.publish.csiro.au/?paper=BI9710449	net photosynthetic rate	mg co2 dm^-2 h^-1
141	16	several	Ludlow, M., & Wilson, G. (1971). Photosynthesis of tropical pasture plants I. Illuminance, carbon dioxide concentration, leaf temperature, and leaf-air vapour pressure difference. Australian Journal of Biological Sciences, 449–470. Retrieved from http://www.publish.csiro.au/?paper=BI9710449	dark respiration	mg co2 dm^-2 h^-1
151	17	5	Lange, O. L., Belnap, J., & Reichenberger, H. (1998). Photosynthesis of the cyanobacterial soil-crust lichen Collema tenax from arid lands in southern Utah, USA: role of water content on light and temperature responses of CO2 exchange. Functional Ecology, 12(2), 195–202. doi:10.1046/j.1365-2435.1998.00192.x	net photosynthesis, co2 exchange	micromol m^-2 s^-1
158	18	5	Lange, O. L., Belnap, J., & Reichenberger, H. (1998). Photosynthesis of the cyanobacterial soil-crust lichen Collema tenax from arid lands in southern Utah, USA: role of water content on light and temperature responses of CO2 exchange. Functional Ecology, 12(2), 195–202. doi:10.1046/j.1365-2435.1998.00192.x	respiration	micromol m^-2 s^-1
165	19	5	Lange, O. L., Belnap, J., & Reichenberger, H. (1998). Photosynthesis of the cyanobacterial soil-crust lichen Collema tenax from arid lands in southern Utah, USA: role of water content on light and temperature responses of CO2 exchange. Functional Ecology, 12(2), 195–202. doi:10.1046/j.1365-2435.1998.00192.x	net photosynthesis, co2 exchange	micromol m^-2 s^-1
172	20	5	Lange, O. L., Belnap, J., & Reichenberger, H. (1998). Photosynthesis of the cyanobacterial soil-crust lichen Collema tenax from arid lands in southern Utah, USA: role of water content on light and temperature responses of CO2 exchange. Functional Ecology, 12(2), 195–202. doi:10.1046/j.1365-2435.1998.00192.x	respiration	micromol m^-2 s^-1
180	21	5	Lange, O. L., Belnap, J., & Reichenberger, H. (1998). Photosynthesis of the cyanobacterial soil-crust lichen Collema tenax from arid lands in southern Utah, USA: role of water content on light and temperature responses of CO2 exchange. Functional Ecology, 12(2), 195–202. doi:10.1046/j.1365-2435.1998.00192.x	net photosynthesis, co2 exchange	micromol m^-2 s^-1
188	22	5	Lange, O. L., Belnap, J., & Reichenberger, H. (1998). Photosynthesis of the cyanobacterial soil-crust lichen Collema tenax from arid lands in southern Utah, USA: role of water content on light and temperature responses of CO2 exchange. Functional Ecology, 12(2), 195–202. doi:10.1046/j.1365-2435.1998.00192.x	respiration	micromol m^-2 s^-1
195	23	3	Salvucci, M., & Crafts-Brandner, S. (2004). Relationship between the heat tolerance of photosynthesis and the thermal stability of Rubisco activase in plants from contrasting thermal environments. Plant Physiology, 134(April), 1460–1470. doi:10.1104/pp.103.038323.1460	net photosynthesis	micromol m^-2 s^-1
202	24	3	Salvucci, M., & Crafts-Brandner, S. (2004). Relationship between the heat tolerance of photosynthesis and the thermal stability of Rubisco activase in plants from contrasting thermal environments. Plant Physiology, 134(April), 1460–1470. doi:10.1104/pp.103.038323.1460	net photosynthesis	micromol m^-2 s^-1
209	25	NA	Weis, E. (1981). Reversible heat-inactivation of the Calvin cycle: a possible mechanism of the temperature regulation of photosynthesis. Planta, 39, 33–39. Retrieved from http://link.springer.com/article/10.1007/BF00384234	rate of photosynthenthetic co2 fixation	micromol co2 mg(Chl)^-1 h^-1
